"175 * 163","175 * 163 = 28525"
"126 * 29","126 * 29 = 3654"
"83 * 11","83 * 11 = 913"
"82 * 151","82 * 151 = 12382"
"22 * 58","22 * 58 = 1276"
"185 * 185","185 * 185 = 34225"
"198 * 66","198 * 66 = 13068"
"24 * 126","24 * 126 = 3024"
"11 * 28","11 * 28 = 308"
"89 * 94","89 * 94 = 8366"
"112 * 45","112 * 45 = 5040"
"3 * 20","3 * 20 = 60"
"98 * 115","98 * 115 = 11270"
"144 * 14","144 * 14 = 2016"
"20 * 61","20 * 61 = 1220"
"172 * 55","172 * 55 = 9460"
"47 * 46","47 * 46 = 2162"
"50 * 18","50 * 18 = 900"
"77 * 132","77 * 132 = 10164"
"118 * 174","118 * 174 = 20532"
"39 * 139","39 * 139 = 5421"
"5 * 93","5 * 93 = 465"
"38 * 160","38 * 160 = 6080"
"191 * 53","191 * 53 = 10123"
"173 * 58","173 * 58 = 10034"
"137 * 126","137 * 126 = 17262"
"183 * 110","183 * 110 = 20130"
"88 * 29","88 * 29 = 2552"
"169 * 157","169 * 157 = 26533"
"23 * 132","23 * 132 = 3036"
"51 * 61","51 * 61 = 3111"
"147 * 165","147 * 165 = 24255"
"71 * 121","71 * 121 = 8591"
"25 * 59","25 * 59 = 1475"
"3 * 61","3 * 61 = 183"
"14 * 54","14 * 54 = 756"
"87 * 70","87 * 70 = 6090"
"112 * 57","112 * 57 = 6384"
"93 * 3","93 * 3 = 279"
"182 * 111","182 * 111 = 20202"
"155 * 98","155 * 98 = 15190"
"167 * 35","167 * 35 = 5845"
"90 * 174","90 * 174 = 15660"
"170 * 192","170 * 192 = 32640"
"152 * 106","152 * 106 = 16112"
"154 * 35","154 * 35 = 5390"
"155 * 108","155 * 108 = 16740"
"22 * 181","22 * 181 = 3982"
"189 * 75","189 * 75 = 14175"
"72 * 20","72 * 20 = 1440"
"150 * 166","150 * 166 = 24900"
"135 * 50","135 * 50 = 6750"
"187 * 89","187 * 89 = 16643"
"58 * 39","58 * 39 = 2262"
"109 * 2","109 * 2 = 218"
"68 * 93","68 * 93 = 6324"
"174 * 41","174 * 41 = 7134"
"182 * 81","182 * 81 = 14742"
"171 * 63","171 * 63 = 10773"
"198 * 196","198 * 196 = 38808"
"183 * 72","183 * 72 = 13176"
"38 * 122","38 * 122 = 4636"
"140 * 121","140 * 121 = 16940"
"6 * 70","6 * 70 = 420"
"125 * 67","125 * 67 = 8375"
"150 * 122","150 * 122 = 18300"
"120 * 4","120 * 4 = 480"
"119 * 14","119 * 14 = 1666"
"58 * 136","58 * 136 = 7888"
"120 * 63","120 * 63 = 7560"
"130 * 64","130 * 64 = 8320"
"171 * 73","171 * 73 = 12483"
"65 * 107","65 * 107 = 6955"
"143 * 139","143 * 139 = 19877"
"71 * 66","71 * 66 = 4686"
"171 * 85","171 * 85 = 14535"
"147 * 190","147 * 190 = 27930"
"198 * 45","198 * 45 = 8910"
"1 * 51","1 * 51 = 51"
"31 * 177","31 * 177 = 5487"
"23 * 36","23 * 36 = 828"
"153 * 117","153 * 117 = 17901"
"188 * 36","188 * 36 = 6768"
"2 * 46","2 * 46 = 92"
"72 * 136","72 * 136 = 9792"
"176 * 101","176 * 101 = 17776"
"69 * 167","69 * 167 = 11523"
"199 * 180","199 * 180 = 35820"
"133 * 199","133 * 199 = 26467"
"111 * 186","111 * 186 = 20646"
"48 * 48","48 * 48 = 2304"
"33 * 97","33 * 97 = 3201"
"96 * 39","96 * 39 = 3744"
"66 * 27","66 * 27 = 1782"
"74 * 74","74 * 74 = 5476"
"184 * 180","184 * 180 = 33120"
"55 * 96","55 * 96 = 5280"
"115 * 152","115 * 152 = 17480"
"196 * 186","196 * 186 = 36456"
"16 * 194","16 * 194 = 3104"
"106 * 67","106 * 67 = 7102"
"24 * 114","24 * 114 = 2736"
"36 * 113","36 * 113 = 4068"
"114 * 200","114 * 200 = 22800"
"130 * 162","130 * 162 = 21060"
"107 * 116","107 * 116 = 12412"
"57 * 21","57 * 21 = 1197"
"149 * 102","149 * 102 = 15198"
"140 * 149","140 * 149 = 20860"
"82 * 33","82 * 33 = 2706"
"34 * 57","34 * 57 = 1938"
"11 * 129","11 * 129 = 1419"
"135 * 158","135 * 158 = 21330"
"169 * 144","169 * 144 = 24336"
"114 * 23","114 * 23 = 2622"
"14 * 166","14 * 166 = 2324"
"58 * 104","58 * 104 = 6032"
"180 * 43","180 * 43 = 7740"
"134 * 29","134 * 29 = 3886"
"59 * 51","59 * 51 = 3009"
"150 * 134","150 * 134 = 20100"
"129 * 178","129 * 178 = 22962"
"169 * 164","169 * 164 = 27716"
"148 * 108","148 * 108 = 15984"
"15 * 68","15 * 68 = 1020"
"33 * 1","33 * 1 = 33"
"176 * 147","176 * 147 = 25872"
"38 * 28","38 * 28 = 1064"
"67 * 87","67 * 87 = 5829"
"165 * 41","165 * 41 = 6765"
"173 * 40","173 * 40 = 6920"
"55 * 191","55 * 191 = 10505"
"181 * 188","181 * 188 = 34028"
"7 * 1","7 * 1 = 7"
"109 * 113","109 * 113 = 12317"
"154 * 8","154 * 8 = 1232"
"114 * 187","114 * 187 = 21318"
"41 * 101","41 * 101 = 4141"
"180 * 63","180 * 63 = 11340"
"52 * 107","52 * 107 = 5564"
"161 * 120","161 * 120 = 19320"
"136 * 193","136 * 193 = 26248"
"24 * 112","24 * 112 = 2688"
"152 * 35","152 * 35 = 5320"
"142 * 58","142 * 58 = 8236"
"14 * 161","14 * 161 = 2254"
"177 * 103","177 * 103 = 18231"
"144 * 126","144 * 126 = 18144"
"133 * 16","133 * 16 = 2128"
"31 * 96","31 * 96 = 2976"
"55 * 154","55 * 154 = 8470"
"104 * 82","104 * 82 = 8528"
"63 * 1","63 * 1 = 63"
"97 * 30","97 * 30 = 2910"
"126 * 20","126 * 20 = 2520"
"189 * 112","189 * 112 = 21168"
"111 * 180","111 * 180 = 19980"
"119 * 144","119 * 144 = 17136"
"52 * 141","52 * 141 = 7332"
"164 * 55","164 * 55 = 9020"
"82 * 12","82 * 12 = 984"
"23 * 113","23 * 113 = 2599"
"147 * 39","147 * 39 = 5733"
"9 * 58","9 * 58 = 522"
"46 * 182","46 * 182 = 8372"
"10 * 98","10 * 98 = 980"
"92 * 82","92 * 82 = 7544"
"166 * 148","166 * 148 = 24568"
"46 * 14","46 * 14 = 644"
"161 * 180","161 * 180 = 28980"
"77 * 28","77 * 28 = 2156"
"149 * 56","149 * 56 = 8344"
"196 * 2","196 * 2 = 392"
"190 * 22","190 * 22 = 4180"
"87 * 72","87 * 72 = 6264"
"189 * 146","189 * 146 = 27594"
"170 * 76","170 * 76 = 12920"
"107 * 148","107 * 148 = 15836"
"194 * 163","194 * 163 = 31622"
"187 * 170","187 * 170 = 31790"
"153 * 62","153 * 62 = 9486"
"126 * 8","126 * 8 = 1008"
"91 * 70","91 * 70 = 6370"
"116 * 91","116 * 91 = 10556"
"13 * 20","13 * 20 = 260"
"74 * 192","74 * 192 = 14208"
"3 * 92","3 * 92 = 276"
"150 * 120","150 * 120 = 18000"
"162 * 6","162 * 6 = 972"
"20 * 181","20 * 181 = 3620"
"80 * 14","80 * 14 = 1120"
"105 * 60","105 * 60 = 6300"
"75 * 171","75 * 171 = 12825"
"135 * 121","135 * 121 = 16335"
"137 * 100","137 * 100 = 13700"
"156 * 85","156 * 85 = 13260"
"199 * 70","199 * 70 = 13930"
"165 * 50","165 * 50 = 8250"
"136 * 193","136 * 193 = 26248"
"11 * 186","11 * 186 = 2046"
"108 * 176","108 * 176 = 19008"
"79 * 88","79 * 88 = 6952"
"70 * 25","70 * 25 = 1750"
"133 * 117","133 * 117 = 15561"
"113 * 41","113 * 41 = 4633"
"156 * 149","156 * 149 = 23244"
"51 * 114","51 * 114 = 5814"
"171 * 131","171 * 131 = 22401"
"183 * 161","183 * 161 = 29463"
"83 * 88","83 * 88 = 7304"
"183 * 165","183 * 165 = 30195"
"163 * 161","163 * 161 = 26243"
"189 * 110","189 * 110 = 20790"
"34 * 55","34 * 55 = 1870"
"48 * 113","48 * 113 = 5424"
"132 * 117","132 * 117 = 15444"
"94 * 127","94 * 127 = 11938"
"160 * 174","160 * 174 = 27840"
"28 * 79","28 * 79 = 2212"
"68 * 119","68 * 119 = 8092"
"161 * 112","161 * 112 = 18032"
"141 * 89","141 * 89 = 12549"
"21 * 126","21 * 126 = 2646"
"19 * 67","19 * 67 = 1273"
"185 * 72","185 * 72 = 13320"
"52 * 19","52 * 19 = 988"
"69 * 71","69 * 71 = 4899"
"95 * 186","95 * 186 = 17670"
"5 * 45","5 * 45 = 225"
"41 * 60","41 * 60 = 2460"
"158 * 70","158 * 70 = 11060"
"144 * 14","144 * 14 = 2016"
"72 * 19","72 * 19 = 1368"
"98 * 112","98 * 112 = 10976"
"183 * 57","183 * 57 = 10431"
"33 * 26","33 * 26 = 858"
"38 * 100","38 * 100 = 3800"
"182 * 67","182 * 67 = 12194"
"62 * 96","62 * 96 = 5952"
"120 * 39","120 * 39 = 4680"
"155 * 2","155 * 2 = 310"
"37 * 106","37 * 106 = 3922"
"74 * 174","74 * 174 = 12876"
"76 * 113","76 * 113 = 8588"
"198 * 8","198 * 8 = 1584"
"144 * 48","144 * 48 = 6912"
"35 * 58","35 * 58 = 2030"
"183 * 4","183 * 4 = 732"
"142 * 116","142 * 116 = 16472"
"182 * 112","182 * 112 = 20384"
"13 * 194","13 * 194 = 2522"
"48 * 38","48 * 38 = 1824"
"1 * 152","1 * 152 = 152"
"151 * 145","151 * 145 = 21895"
"129 * 147","129 * 147 = 18963"
"139 * 144","139 * 144 = 20016"
"199 * 181","199 * 181 = 36019"
"144 * 57","144 * 57 = 8208"
"57 * 182","57 * 182 = 10374"
"88 * 194","88 * 194 = 17072"
"22 * 76","22 * 76 = 1672"
"171 * 85","171 * 85 = 14535"
"130 * 172","130 * 172 = 22360"
"131 * 23","131 * 23 = 3013"
"80 * 149","80 * 149 = 11920"
"70 * 50","70 * 50 = 3500"
"35 * 59","35 * 59 = 2065"
"144 * 168","144 * 168 = 24192"
"23 * 1","23 * 1 = 23"
"107 * 145","107 * 145 = 15515"
"66 * 77","66 * 77 = 5082"
"183 * 30","183 * 30 = 5490"
"53 * 142","53 * 142 = 7526"
"41 * 6","41 * 6 = 246"
"12 * 46","12 * 46 = 552"
"154 * 77","154 * 77 = 11858"
"146 * 61","146 * 61 = 8906"
"168 * 163","168 * 163 = 27384"
"50 * 147","50 * 147 = 7350"
"42 * 36","42 * 36 = 1512"
"114 * 146","114 * 146 = 16644"
"172 * 55","172 * 55 = 9460"
"200 * 186","200 * 186 = 37200"
"175 * 100","175 * 100 = 17500"
"192 * 76","192 * 76 = 14592"
"20 * 172","20 * 172 = 3440"
"40 * 16","40 * 16 = 640"
"197 * 6","197 * 6 = 1182"
"86 * 121","86 * 121 = 10406"
"158 * 105","158 * 105 = 16590"
"2 * 134","2 * 134 = 268"
"75 * 65","75 * 65 = 4875"
"101 * 137","101 * 137 = 13837"
"117 * 128","117 * 128 = 14976"
"138 * 15","138 * 15 = 2070"
"108 * 123","108 * 123 = 13284"
"79 * 115","79 * 115 = 9085"
"58 * 61","58 * 61 = 3538"
"196 * 180","196 * 180 = 35280"
"69 * 132","69 * 132 = 9108"
"164 * 151","164 * 151 = 24764"
"154 * 110","154 * 110 = 16940"
"91 * 34","91 * 34 = 3094"
"12 * 1","12 * 1 = 12"
"124 * 33","124 * 33 = 4092"
"176 * 60","176 * 60 = 10560"
"145 * 96","145 * 96 = 13920"
"189 * 33","189 * 33 = 6237"
"45 * 185","45 * 185 = 8325"
"57 * 185","57 * 185 = 10545"
"50 * 51","50 * 51 = 2550"
"136 * 34","136 * 34 = 4624"
"51 * 185","51 * 185 = 9435"
"124 * 197","124 * 197 = 24428"
"19 * 100","19 * 100 = 1900"
"176 * 10","176 * 10 = 1760"
"75 * 126","75 * 126 = 9450"
"164 * 114","164 * 114 = 18696"
"178 * 115","178 * 115 = 20470"
"34 * 161","34 * 161 = 5474"
"163 * 89","163 * 89 = 14507"
"152 * 157","152 * 157 = 23864"
"164 * 71","164 * 71 = 11644"
"88 * 18","88 * 18 = 1584"
"111 * 16","111 * 16 = 1776"
"160 * 121","160 * 121 = 19360"
"60 * 78","60 * 78 = 4680"
"12 * 199","12 * 199 = 2388"
"28 * 123","28 * 123 = 3444"
"161 * 97","161 * 97 = 15617"
"195 * 104","195 * 104 = 20280"
"31 * 13","31 * 13 = 403"
"149 * 130","149 * 130 = 19370"
"38 * 169","38 * 169 = 6422"
"188 * 148","188 * 148 = 27824"
"26 * 132","26 * 132 = 3432"
"156 * 157","156 * 157 = 24492"
"9 * 156","9 * 156 = 1404"
"115 * 47","115 * 47 = 5405"
"193 * 157","193 * 157 = 30301"
"52 * 181","52 * 181 = 9412"
"184 * 127","184 * 127 = 23368"
"1 * 88","1 * 88 = 88"
"104 * 13","104 * 13 = 1352"
"98 * 91","98 * 91 = 8918"
"100 * 157","100 * 157 = 15700"
"53 * 14","53 * 14 = 742"
"156 * 106","156 * 106 = 16536"
"50 * 94","50 * 94 = 4700"
"126 * 110","126 * 110 = 13860"
"135 * 143","135 * 143 = 19305"
"136 * 122","136 * 122 = 16592"
"178 * 84","178 * 84 = 14952"
"169 * 109","169 * 109 = 18421"
"87 * 189","87 * 189 = 16443"
"6 * 69","6 * 69 = 414"
"138 * 162","138 * 162 = 22356"
"49 * 128","49 * 128 = 6272"
"49 * 95","49 * 95 = 4655"
"152 * 41","152 * 41 = 6232"
"88 * 86","88 * 86 = 7568"
"170 * 104","170 * 104 = 17680"
"138 * 150","138 * 150 = 20700"
"43 * 159","43 * 159 = 6837"
"45 * 5","45 * 5 = 225"
"123 * 137","123 * 137 = 16851"
"61 * 12","61 * 12 = 732"
"15 * 43","15 * 43 = 645"
"128 * 89","128 * 89 = 11392"
"82 * 143","82 * 143 = 11726"
"78 * 78","78 * 78 = 6084"
"25 * 4","25 * 4 = 100"
"123 * 64","123 * 64 = 7872"
"193 * 13","193 * 13 = 2509"
"20 * 107","20 * 107 = 2140"
"120 * 70","120 * 70 = 8400"
"24 * 193","24 * 193 = 4632"
"193 * 109","193 * 109 = 21037"
"84 * 132","84 * 132 = 11088"
"13 * 114","13 * 114 = 1482"
"93 * 74","93 * 74 = 6882"
"53 * 170","53 * 170 = 9010"
"81 * 117","81 * 117 = 9477"
"160 * 76","160 * 76 = 12160"
"53 * 121","53 * 121 = 6413"
"14 * 50","14 * 50 = 700"
"162 * 37","162 * 37 = 5994"
"21 * 147","21 * 147 = 3087"
"56 * 78","56 * 78 = 4368"
"195 * 109","195 * 109 = 21255"
"100 * 159","100 * 159 = 15900"
"3 * 172","3 * 172 = 516"
"3 * 68","3 * 68 = 204"
"83 * 83","83 * 83 = 6889"
"26 * 86","26 * 86 = 2236"
"180 * 133","180 * 133 = 23940"
"174 * 164","174 * 164 = 28536"
"134 * 45","134 * 45 = 6030"
"133 * 134","133 * 134 = 17822"
"39 * 16","39 * 16 = 624"
"51 * 107","51 * 107 = 5457"
"90 * 107","90 * 107 = 9630"
"168 * 15","168 * 15 = 2520"
"184 * 53","184 * 53 = 9752"
"115 * 6","115 * 6 = 690"
"51 * 168","51 * 168 = 8568"
"155 * 128","155 * 128 = 19840"
"159 * 88","159 * 88 = 13992"
"178 * 178","178 * 178 = 31684"
"26 * 67","26 * 67 = 1742"
"150 * 109","150 * 109 = 16350"
"146 * 28","146 * 28 = 4088"
"69 * 30","69 * 30 = 2070"
"1 * 13","1 * 13 = 13"
"79 * 98","79 * 98 = 7742"
"42 * 1","42 * 1 = 42"
"62 * 188","62 * 188 = 11656"
"164 * 156","164 * 156 = 25584"
"199 * 178","199 * 178 = 35422"
"79 * 70","79 * 70 = 5530"
"180 * 2","180 * 2 = 360"
"7 * 189","7 * 189 = 1323"
"159 * 91","159 * 91 = 14469"
"133 * 134","133 * 134 = 17822"
"179 * 129","179 * 129 = 23091"
"182 * 197","182 * 197 = 35854"
"2 * 183","2 * 183 = 366"
"115 * 22","115 * 22 = 2530"
"12 * 85","12 * 85 = 1020"
"84 * 27","84 * 27 = 2268"
"69 * 162","69 * 162 = 11178"
"53 * 45","53 * 45 = 2385"
"93 * 52","93 * 52 = 4836"
"32 * 116","32 * 116 = 3712"
"179 * 192","179 * 192 = 34368"
"102 * 130","102 * 130 = 13260"
"8 * 107","8 * 107 = 856"
"196 * 66","196 * 66 = 12936"
"157 * 120","157 * 120 = 18840"
"188 * 194","188 * 194 = 36472"
"8 * 116","8 * 116 = 928"
"52 * 71","52 * 71 = 3692"
"108 * 47","108 * 47 = 5076"
"45 * 176","45 * 176 = 7920"
"104 * 39","104 * 39 = 4056"
"104 * 2","104 * 2 = 208"
"139 * 43","139 * 43 = 5977"
"186 * 154","186 * 154 = 28644"
"126 * 111","126 * 111 = 13986"
"89 * 4","89 * 4 = 356"
"145 * 126","145 * 126 = 18270"
"5 * 9","5 * 9 = 45"
"177 * 149","177 * 149 = 26373"
"177 * 66","177 * 66 = 11682"
"46 * 169","46 * 169 = 7774"
"70 * 52","70 * 52 = 3640"
"36 * 28","36 * 28 = 1008"
"142 * 101","142 * 101 = 14342"
"106 * 193","106 * 193 = 20458"
"139 * 78","139 * 78 = 10842"
"130 * 115","130 * 115 = 14950"
"109 * 146","109 * 146 = 15914"
"185 * 47","185 * 47 = 8695"
"122 * 10","122 * 10 = 1220"
"91 * 140","91 * 140 = 12740"
"68 * 26","68 * 26 = 1768"
"140 * 165","140 * 165 = 23100"
"99 * 146","99 * 146 = 14454"
"16 * 127","16 * 127 = 2032"
"1 * 39","1 * 39 = 39"
"64 * 119","64 * 119 = 7616"
"83 * 58","83 * 58 = 4814"
"84 * 102","84 * 102 = 8568"
"121 * 26","121 * 26 = 3146"
"4 * 14","4 * 14 = 56"
"194 * 173","194 * 173 = 33562"
"75 * 143","75 * 143 = 10725"
"188 * 48","188 * 48 = 9024"
"161 * 34","161 * 34 = 5474"
"184 * 154","184 * 154 = 28336"
"158 * 101","158 * 101 = 15958"
"194 * 138","194 * 138 = 26772"
"40 * 134","40 * 134 = 5360"
"153 * 150","153 * 150 = 22950"
"192 * 88","192 * 88 = 16896"
"128 * 62","128 * 62 = 7936"
"171 * 24","171 * 24 = 4104"
"87 * 67","87 * 67 = 5829"
"152 * 83","152 * 83 = 12616"
"18 * 138","18 * 138 = 2484"
"53 * 58","53 * 58 = 3074"
"189 * 121","189 * 121 = 22869"
"132 * 162","132 * 162 = 21384"
"66 * 15","66 * 15 = 990"
"37 * 108","37 * 108 = 3996"
"114 * 63","114 * 63 = 7182"
"38 * 59","38 * 59 = 2242"
"73 * 163","73 * 163 = 11899"
"116 * 164","116 * 164 = 19024"
"49 * 23","49 * 23 = 1127"
"134 * 50","134 * 50 = 6700"
"193 * 43","193 * 43 = 8299"
"189 * 166","189 * 166 = 31374"
"64 * 39","64 * 39 = 2496"
"20 * 52","20 * 52 = 1040"
"80 * 91","80 * 91 = 7280"
"125 * 50","125 * 50 = 6250"
"192 * 122","192 * 122 = 23424"
"192 * 71","192 * 71 = 13632"
"71 * 141","71 * 141 = 10011"
"25 * 88","25 * 88 = 2200"
"13 * 16","13 * 16 = 208"
"72 * 54","72 * 54 = 3888"
"17 * 37","17 * 37 = 629"
"1 * 162","1 * 162 = 162"
"64 * 124","64 * 124 = 7936"
"108 * 146","108 * 146 = 15768"
"80 * 2","80 * 2 = 160"
"35 * 122","35 * 122 = 4270"
"17 * 148","17 * 148 = 2516"
"126 * 35","126 * 35 = 4410"
"199 * 141","199 * 141 = 28059"
"108 * 69","108 * 69 = 7452"
"116 * 175","116 * 175 = 20300"
"45 * 112","45 * 112 = 5040"
"176 * 1","176 * 1 = 176"
"25 * 57","25 * 57 = 1425"
"105 * 148","105 * 148 = 15540"
"133 * 121","133 * 121 = 16093"
"16 * 131","16 * 131 = 2096"
"11 * 27","11 * 27 = 297"
"192 * 189","192 * 189 = 36288"
"55 * 178","55 * 178 = 9790"
"129 * 130","129 * 130 = 16770"
"146 * 67","146 * 67 = 9782"
"70 * 91","70 * 91 = 6370"
"88 * 197","88 * 197 = 17336"
"162 * 112","162 * 112 = 18144"
"127 * 178","127 * 178 = 22606"
"38 * 121","38 * 121 = 4598"
"187 * 196","187 * 196 = 36652"
"40 * 139","40 * 139 = 5560"
"22 * 124","22 * 124 = 2728"
"143 * 7","143 * 7 = 1001"
"69 * 4","69 * 4 = 276"
"29 * 63","29 * 63 = 1827"
"119 * 89","119 * 89 = 10591"
"15 * 82","15 * 82 = 1230"
"14 * 53","14 * 53 = 742"
"33 * 171","33 * 171 = 5643"
"71 * 93","71 * 93 = 6603"
"194 * 44","194 * 44 = 8536"
"28 * 59","28 * 59 = 1652"
"10 * 98","10 * 98 = 980"
"123 * 191","123 * 191 = 23493"
"141 * 178","141 * 178 = 25098"
"192 * 46","192 * 46 = 8832"
"154 * 183","154 * 183 = 28182"
"58 * 96","58 * 96 = 5568"
"79 * 193","79 * 193 = 15247"
"57 * 35","57 * 35 = 1995"
"191 * 162","191 * 162 = 30942"
"190 * 67","190 * 67 = 12730"
"121 * 31","121 * 31 = 3751"
"51 * 5","51 * 5 = 255"
"41 * 122","41 * 122 = 5002"
"191 * 29","191 * 29 = 5539"
"20 * 79","20 * 79 = 1580"
"66 * 169","66 * 169 = 11154"
"70 * 40","70 * 40 = 2800"
"131 * 163","131 * 163 = 21353"
"51 * 78","51 * 78 = 3978"
"136 * 80","136 * 80 = 10880"
"198 * 27","198 * 27 = 5346"
"2 * 2","2 * 2 = 4"
"26 * 36","26 * 36 = 936"
"11 * 146","11 * 146 = 1606"
"183 * 188","183 * 188 = 34404"
"42 * 31","42 * 31 = 1302"
"61 * 92","61 * 92 = 5612"
"184 * 122","184 * 122 = 22448"
"57 * 167","57 * 167 = 9519"
"111 * 80","111 * 80 = 8880"
"81 * 167","81 * 167 = 13527"
"131 * 200","131 * 200 = 26200"
"124 * 24","124 * 24 = 2976"
"19 * 75","19 * 75 = 1425"
"174 * 25","174 * 25 = 4350"
"55 * 193","55 * 193 = 10615"
"119 * 121","119 * 121 = 14399"
"39 * 151","39 * 151 = 5889"
"180 * 149","180 * 149 = 26820"
"143 * 40","143 * 40 = 5720"
"63 * 169","63 * 169 = 10647"
"141 * 178","141 * 178 = 25098"
"190 * 130","190 * 130 = 24700"
"142 * 57","142 * 57 = 8094"
"82 * 26","82 * 26 = 2132"
"180 * 117","180 * 117 = 21060"
"85 * 51","85 * 51 = 4335"
"146 * 182","146 * 182 = 26572"
"72 * 180","72 * 180 = 12960"
"165 * 94","165 * 94 = 15510"
"92 * 68","92 * 68 = 6256"
"95 * 170","95 * 170 = 16150"
"151 * 179","151 * 179 = 27029"
"196 * 159","196 * 159 = 31164"
"19 * 189","19 * 189 = 3591"
"105 * 66","105 * 66 = 6930"
"123 * 136","123 * 136 = 16728"
"90 * 49","90 * 49 = 4410"
"149 * 191","149 * 191 = 28459"
"27 * 109","27 * 109 = 2943"
"196 * 90","196 * 90 = 17640"
"52 * 130","52 * 130 = 6760"
"157 * 47","157 * 47 = 7379"
"168 * 1","168 * 1 = 168"
"166 * 154","166 * 154 = 25564"
"93 * 83","93 * 83 = 7719"
"134 * 51","134 * 51 = 6834"
"185 * 32","185 * 32 = 5920"
"56 * 52","56 * 52 = 2912"
"78 * 115","78 * 115 = 8970"
"12 * 195","12 * 195 = 2340"
"83 * 130","83 * 130 = 10790"
"47 * 160","47 * 160 = 7520"
"62 * 139","62 * 139 = 8618"
"105 * 74","105 * 74 = 7770"
"3 * 160","3 * 160 = 480"
"106 * 26","106 * 26 = 2756"
"74 * 93","74 * 93 = 6882"
"24 * 55","24 * 55 = 1320"
"6 * 108","6 * 108 = 648"
"71 * 136","71 * 136 = 9656"
"170 * 83","170 * 83 = 14110"
"20 * 33","20 * 33 = 660"
"84 * 37","84 * 37 = 3108"
"160 * 158","160 * 158 = 25280"
"110 * 122","110 * 122 = 13420"
"135 * 163","135 * 163 = 22005"
"130 * 72","130 * 72 = 9360"
"21 * 72","21 * 72 = 1512"
"3 * 83","3 * 83 = 249"
"29 * 99","29 * 99 = 2871"
"46 * 103","46 * 103 = 4738"
"96 * 79","96 * 79 = 7584"
"122 * 75","122 * 75 = 9150"
"18 * 121","18 * 121 = 2178"
"43 * 65","43 * 65 = 2795"
"23 * 152","23 * 152 = 3496"
"172 * 53","172 * 53 = 9116"
"164 * 24","164 * 24 = 3936"
"107 * 66","107 * 66 = 7062"
"63 * 12","63 * 12 = 756"
"177 * 97","177 * 97 = 17169"
"3 * 132","3 * 132 = 396"
"41 * 147","41 * 147 = 6027"
"108 * 151","108 * 151 = 16308"
"142 * 197","142 * 197 = 27974"
"42 * 27","42 * 27 = 1134"
"134 * 60","134 * 60 = 8040"
"72 * 40","72 * 40 = 2880"
"170 * 149","170 * 149 = 25330"
"72 * 106","72 * 106 = 7632"
"90 * 108","90 * 108 = 9720"
"142 * 138","142 * 138 = 19596"
"23 * 7","23 * 7 = 161"
"62 * 91","62 * 91 = 5642"
"162 * 92","162 * 92 = 14904"
"60 * 95","60 * 95 = 5700"
"40 * 83","40 * 83 = 3320"
"113 * 109","113 * 109 = 12317"
"126 * 127","126 * 127 = 16002"
"129 * 83","129 * 83 = 10707"
"120 * 143","120 * 143 = 17160"
"71 * 4","71 * 4 = 284"
"108 * 127","108 * 127 = 13716"
"5 * 112","5 * 112 = 560"
"67 * 172","67 * 172 = 11524"
"103 * 46","103 * 46 = 4738"
"190 * 144","190 * 144 = 27360"
"76 * 88","76 * 88 = 6688"
"74 * 51","74 * 51 = 3774"
"190 * 156","190 * 156 = 29640"
"180 * 178","180 * 178 = 32040"
"139 * 123","139 * 123 = 17097"
"155 * 180","155 * 180 = 27900"
"40 * 23","40 * 23 = 920"
"169 * 37","169 * 37 = 6253"
"139 * 40","139 * 40 = 5560"
"6 * 111","6 * 111 = 666"
"21 * 160","21 * 160 = 3360"
"111 * 49","111 * 49 = 5439"
"24 * 169","24 * 169 = 4056"
"132 * 82","132 * 82 = 10824"
"89 * 1","89 * 1 = 89"
"100 * 135","100 * 135 = 13500"
"68 * 37","68 * 37 = 2516"
"155 * 29","155 * 29 = 4495"
"41 * 135","41 * 135 = 5535"
"14 * 98","14 * 98 = 1372"
"199 * 15","199 * 15 = 2985"
"11 * 51","11 * 51 = 561"
"76 * 58","76 * 58 = 4408"
"42 * 177","42 * 177 = 7434"
"6 * 85","6 * 85 = 510"
"48 * 32","48 * 32 = 1536"
"53 * 32","53 * 32 = 1696"
"94 * 31","94 * 31 = 2914"
"184 * 161","184 * 161 = 29624"
"168 * 36","168 * 36 = 6048"
"40 * 68","40 * 68 = 2720"
"190 * 165","190 * 165 = 31350"
"171 * 51","171 * 51 = 8721"
"157 * 144","157 * 144 = 22608"
"168 * 87","168 * 87 = 14616"
"19 * 194","19 * 194 = 3686"
"105 * 176","105 * 176 = 18480"
"41 * 55","41 * 55 = 2255"
"59 * 85","59 * 85 = 5015"
"133 * 114","133 * 114 = 15162"
"12 * 196","12 * 196 = 2352"
"139 * 32","139 * 32 = 4448"
"188 * 98","188 * 98 = 18424"
"42 * 181","42 * 181 = 7602"
"118 * 145","118 * 145 = 17110"
"32 * 135","32 * 135 = 4320"
"17 * 47","17 * 47 = 799"
"170 * 141","170 * 141 = 23970"
"115 * 42","115 * 42 = 4830"
"13 * 179","13 * 179 = 2327"
"52 * 95","52 * 95 = 4940"
"187 * 25","187 * 25 = 4675"
"190 * 14","190 * 14 = 2660"
"14 * 198","14 * 198 = 2772"
"130 * 121","130 * 121 = 15730"
"52 * 13","52 * 13 = 676"
"200 * 158","200 * 158 = 31600"
"30 * 121","30 * 121 = 3630"
"63 * 2","63 * 2 = 126"
"54 * 26","54 * 26 = 1404"
